"","src.state","src.county","dest.state","dest.county","fips","migration"
"1","Connecticut","Fairfield County","New York","Nassau County",36059009001,344
"2","Connecticut","Fairfield County","New York","Putnam County",36079009001,94
"3","Connecticut","Fairfield County","Pennsylvania","Monroe County",42089009001,10
"4","Connecticut","Fairfield County","New Jersey","Union County",34039009001,87
"5","Connecticut","Fairfield County","New Jersey","Bergen County",34003009001,416
"6","Connecticut","Fairfield County","New Jersey","Middlesex County",34023009001,98
"7","Connecticut","Fairfield County","New Jersey","Morris County",34027009001,85
"8","Connecticut","Fairfield County","New Jersey","Essex County",34013009001,159
"9","Connecticut","Fairfield County","Connecticut","New Haven County",9009009001,6597
"10","Connecticut","Fairfield County","New York","Kings County",36047009001,132
"11","Connecticut","Fairfield County","Connecticut","Litchfield County",9005009001,2037
"12","Connecticut","Fairfield County","New York","Westchester County",36119009001,836
"13","Connecticut","Fairfield County","Pennsylvania","Lehigh County",42077009001,69
"14","Connecticut","Fairfield County","New Jersey","Passaic County",34031009001,41
"15","Connecticut","Fairfield County","Pennsylvania","Northampton County",42095009001,35
"16","Connecticut","Fairfield County","New Jersey","Mercer County",34021009001,207
"17","Connecticut","Fairfield County","New York","Richmond County",36085009001,21
"18","Connecticut","Fairfield County","New York","Dutchess County",36027009001,182
"19","Connecticut","Fairfield County","New York","Rockland County",36087009001,212
"20","Connecticut","Fairfield County","New York","Queens County",36081009001,475
"21","Connecticut","Fairfield County","New Jersey","Monmouth County",34025009001,69
"22","Connecticut","Fairfield County","New York","New York County",36061009001,1361
"23","Connecticut","Fairfield County","New Jersey","Somerset County",34035009001,46
"24","Connecticut","Fairfield County","New York","Ulster County",36111009001,60
"25","Connecticut","Fairfield County","New Jersey","Hudson County",34017009001,115
"26","Connecticut","Fairfield County","New Jersey","Ocean County",34029009001,43
"27","Connecticut","Fairfield County","New York","Bronx County",36005009001,624
"28","Connecticut","Fairfield County","New York","Orange County",36071009001,74
"29","Connecticut","Fairfield County","New York","Suffolk County",36103009001,144
"30","Connecticut","Litchfield County","New York","Bronx County",36005009005,15
"31","Connecticut","Litchfield County","Pennsylvania","Northampton County",42095009005,19
"32","Connecticut","Litchfield County","New York","Putnam County",36079009005,37
"33","Connecticut","Litchfield County","New Jersey","Mercer County",34021009005,19
"34","Connecticut","Litchfield County","New York","Rockland County",36087009005,141
"35","Connecticut","Litchfield County","New Jersey","Hudson County",34017009005,51
"36","Connecticut","Litchfield County","Connecticut","New Haven County",9009009005,1342
"37","Connecticut","Litchfield County","New York","Queens County",36081009005,31
"38","Connecticut","Litchfield County","New York","Suffolk County",36103009005,20
"39","Connecticut","Litchfield County","New Jersey","Passaic County",34031009005,24
"40","Connecticut","Litchfield County","New York","Nassau County",36059009005,40
"41","Connecticut","Litchfield County","New York","Ulster County",36111009005,64
"42","Connecticut","Litchfield County","New Jersey","Warren County",34041009005,3
"43","Connecticut","Litchfield County","New York","Kings County",36047009005,25
"44","Connecticut","Litchfield County","Connecticut","Fairfield County",9001009005,668
"45","Connecticut","Litchfield County","New York","New York County",36061009005,194
"46","Connecticut","Litchfield County","New York","Dutchess County",36027009005,76
"47","Connecticut","Litchfield County","New Jersey","Somerset County",34035009005,23
"48","Connecticut","Litchfield County","New Jersey","Essex County",34013009005,10
"49","Connecticut","New Haven County","Connecticut","Litchfield County",9005009009,1087
"50","Connecticut","New Haven County","New York","Orange County",36071009009,67
"51","Connecticut","New Haven County","New Jersey","Mercer County",34021009009,67
"52","Connecticut","New Haven County","New York","Kings County",36047009009,470
"53","Connecticut","New Haven County","New York","Queens County",36081009009,134
"54","Connecticut","New Haven County","New Jersey","Essex County",34013009009,132
"55","Connecticut","New Haven County","New York","Nassau County",36059009009,337
"56","Connecticut","New Haven County","New York","Rockland County",36087009009,42
"57","Connecticut","New Haven County","New Jersey","Passaic County",34031009009,14
"58","Connecticut","New Haven County","New York","New York County",36061009009,1068
"59","Connecticut","New Haven County","New York","Dutchess County",36027009009,102
"60","Connecticut","New Haven County","New Jersey","Hudson County",34017009009,55
"61","Connecticut","New Haven County","New Jersey","Bergen County",34003009009,34
"62","Connecticut","New Haven County","New York","Bronx County",36005009009,400
"63","Connecticut","New Haven County","New Jersey","Middlesex County",34023009009,79
"64","Connecticut","New Haven County","Connecticut","Fairfield County",9001009009,4096
"65","Connecticut","New Haven County","New York","Suffolk County",36103009009,168
"66","Connecticut","New Haven County","Pennsylvania","Monroe County",42089009009,154
"67","Connecticut","New Haven County","Pennsylvania","Lehigh County",42077009009,12
"68","Connecticut","New Haven County","New Jersey","Monmouth County",34025009009,18
"69","Connecticut","New Haven County","New Jersey","Ocean County",34029009009,32
"70","Connecticut","New Haven County","New Jersey","Somerset County",34035009009,28
"71","Connecticut","New Haven County","New York","Putnam County",36079009009,65
"72","Connecticut","New Haven County","New Jersey","Morris County",34027009009,128
"73","Connecticut","New Haven County","New York","Westchester County",36119009009,172
"74","New Jersey","Bergen County","New York","Rockland County",36087034003,807
"75","New Jersey","Bergen County","New Jersey","Hunterdon County",34019034003,96
"76","New Jersey","Bergen County","New York","Bronx County",36005034003,371
"77","New Jersey","Bergen County","Connecticut","Litchfield County",9005034003,107
"78","New Jersey","Bergen County","Connecticut","Fairfield County",9001034003,460
"79","New Jersey","Bergen County","New Jersey","Hudson County",34017034003,1825
"80","New Jersey","Bergen County","New York","Nassau County",36059034003,104
"81","New Jersey","Bergen County","New Jersey","Middlesex County",34023034003,1360
"82","New Jersey","Bergen County","New Jersey","Monmouth County",34025034003,1029
"83","New Jersey","Bergen County","New Jersey","Somerset County",34035034003,299
"84","New Jersey","Bergen County","New York","New York County",36061034003,2339
"85","New Jersey","Bergen County","New York","Suffolk County",36103034003,158
"86","New Jersey","Bergen County","New Jersey","Ocean County",34029034003,1347
"87","New Jersey","Bergen County","New York","Queens County",36081034003,382
"88","New Jersey","Bergen County","New Jersey","Passaic County",34031034003,2989
"89","New Jersey","Bergen County","New York","Putnam County",36079034003,75
"90","New Jersey","Bergen County","New York","Dutchess County",36027034003,93
"91","New Jersey","Bergen County","New Jersey","Mercer County",34021034003,339
"92","New Jersey","Bergen County","Pennsylvania","Northampton County",42095034003,169
"93","New Jersey","Bergen County","New York","Orange County",36071034003,389
"94","New Jersey","Bergen County","New Jersey","Essex County",34013034003,1444
"95","New Jersey","Bergen County","Pennsylvania","Lehigh County",42077034003,72
"96","New Jersey","Bergen County","Pennsylvania","Monroe County",42089034003,301
"97","New Jersey","Bergen County","New York","Ulster County",36111034003,20
"98","New Jersey","Bergen County","Connecticut","New Haven County",9009034003,222
"99","New Jersey","Bergen County","New Jersey","Warren County",34041034003,238
"100","New Jersey","Bergen County","New Jersey","Morris County",34027034003,1442
"101","New Jersey","Bergen County","New Jersey","Union County",34039034003,399
"102","New Jersey","Bergen County","Pennsylvania","Pike County",42103034003,58
"103","New Jersey","Bergen County","New York","Kings County",36047034003,459
"104","New Jersey","Bergen County","New York","Richmond County",36085034003,50
"105","New Jersey","Bergen County","New York","Westchester County",36119034003,347
"106","New Jersey","Essex County","New York","Nassau County",36059034013,26
"107","New Jersey","Essex County","New York","Bronx County",36005034013,486
"108","New Jersey","Essex County","New York","Dutchess County",36027034013,69
"109","New Jersey","Essex County","New York","Rockland County",36087034013,30
"110","New Jersey","Essex County","New York","Orange County",36071034013,118
"111","New Jersey","Essex County","New Jersey","Hudson County",34017034013,2466
"112","New Jersey","Essex County","New Jersey","Monmouth County",34025034013,825
"113","New Jersey","Essex County","New Jersey","Bergen County",34003034013,1722
"114","New Jersey","Essex County","New York","Ulster County",36111034013,9
"115","New Jersey","Essex County","New Jersey","Somerset County",34035034013,721
"116","New Jersey","Essex County","New Jersey","Union County",34039034013,4394
"117","New Jersey","Essex County","Pennsylvania","Monroe County",42089034013,295
"118","New Jersey","Essex County","Connecticut","Fairfield County",9001034013,450
"119","New Jersey","Essex County","New York","Westchester County",36119034013,269
"120","New Jersey","Essex County","Pennsylvania","Pike County",42103034013,72
"121","New Jersey","Essex County","New Jersey","Middlesex County",34023034013,1681
"122","New Jersey","Essex County","New York","Queens County",36081034013,606
"123","New Jersey","Essex County","New Jersey","Passaic County",34031034013,1636
"124","New Jersey","Essex County","New York","Putnam County",36079034013,36
"125","New Jersey","Essex County","Connecticut","New Haven County",9009034013,85
"126","New Jersey","Essex County","New Jersey","Warren County",34041034013,428
"127","New Jersey","Essex County","New York","Kings County",36047034013,366
"128","New Jersey","Essex County","New York","Richmond County",36085034013,39
"129","New Jersey","Essex County","New Jersey","Mercer County",34021034013,1043
"130","New Jersey","Essex County","New Jersey","Ocean County",34029034013,861
"131","New Jersey","Essex County","New York","Suffolk County",36103034013,85
"132","New Jersey","Essex County","New Jersey","Morris County",34027034013,2598
"133","New Jersey","Essex County","New York","New York County",36061034013,962
"134","New Jersey","Essex County","Pennsylvania","Lehigh County",42077034013,108
"135","New Jersey","Essex County","New Jersey","Hunterdon County",34019034013,279
"136","New Jersey","Essex County","Pennsylvania","Northampton County",42095034013,390
"137","New Jersey","Hudson County","New Jersey","Warren County",34041034017,188
"138","New Jersey","Hudson County","New York","Westchester County",36119034017,64
"139","New Jersey","Hudson County","New York","Dutchess County",36027034017,159
"140","New Jersey","Hudson County","New York","Richmond County",36085034017,220
"141","New Jersey","Hudson County","Pennsylvania","Pike County",42103034017,76
"142","New Jersey","Hudson County","New York","Queens County",36081034017,788
"143","New Jersey","Hudson County","New York","New York County",36061034017,2817
"144","New Jersey","Hudson County","New York","Bronx County",36005034017,597
"145","New Jersey","Hudson County","Pennsylvania","Monroe County",42089034017,185
"146","New Jersey","Hudson County","New York","Rockland County",36087034017,34
"147","New Jersey","Hudson County","New Jersey","Morris County",34027034017,617
"148","New Jersey","Hudson County","New York","Orange County",36071034017,90
"149","New Jersey","Hudson County","New Jersey","Passaic County",34031034017,747
"150","New Jersey","Hudson County","New York","Ulster County",36111034017,28
"151","New Jersey","Hudson County","New Jersey","Essex County",34013034017,2642
"152","New Jersey","Hudson County","New York","Nassau County",36059034017,87
"153","New Jersey","Hudson County","Pennsylvania","Lehigh County",42077034017,286
"154","New Jersey","Hudson County","New Jersey","Ocean County",34029034017,914
"155","New Jersey","Hudson County","New Jersey","Middlesex County",34023034017,1840
"156","New Jersey","Hudson County","New Jersey","Monmouth County",34025034017,1578
"157","New Jersey","Hudson County","Pennsylvania","Northampton County",42095034017,237
"158","New Jersey","Hudson County","New Jersey","Somerset County",34035034017,711
"159","New Jersey","Hudson County","Connecticut","New Haven County",9009034017,39
"160","New Jersey","Hudson County","New Jersey","Bergen County",34003034017,4573
"161","New Jersey","Hudson County","New Jersey","Mercer County",34021034017,433
"162","New Jersey","Hudson County","New York","Kings County",36047034017,879
"163","New Jersey","Hudson County","New Jersey","Union County",34039034017,1152
"164","New Jersey","Hudson County","New Jersey","Hunterdon County",34019034017,311
"165","New Jersey","Hudson County","New York","Suffolk County",36103034017,207
"166","New Jersey","Hudson County","Connecticut","Fairfield County",9001034017,140
"167","New Jersey","Hunterdon County","New Jersey","Monmouth County",34025034019,184
"168","New Jersey","Hunterdon County","New York","Dutchess County",36027034019,52
"169","New Jersey","Hunterdon County","New York","Rockland County",36087034019,12
"170","New Jersey","Hunterdon County","New York","Kings County",36047034019,28
"171","New Jersey","Hunterdon County","New Jersey","Warren County",34041034019,604
"172","New Jersey","Hunterdon County","New Jersey","Somerset County",34035034019,648
"173","New Jersey","Hunterdon County","New Jersey","Ocean County",34029034019,160
"174","New Jersey","Hunterdon County","New Jersey","Hudson County",34017034019,90
"175","New Jersey","Hunterdon County","Pennsylvania","Monroe County",42089034019,61
"176","New Jersey","Hunterdon County","New Jersey","Bergen County",34003034019,146
"177","New Jersey","Hunterdon County","Pennsylvania","Lehigh County",42077034019,16
"178","New Jersey","Hunterdon County","Connecticut","New Haven County",9009034019,17
"179","New Jersey","Hunterdon County","New York","New York County",36061034019,54
"180","New Jersey","Hunterdon County","New Jersey","Morris County",34027034019,180
"181","New Jersey","Hunterdon County","Pennsylvania","Pike County",42103034019,19
"182","New Jersey","Hunterdon County","Pennsylvania","Northampton County",42095034019,484
"183","New Jersey","Hunterdon County","New Jersey","Union County",34039034019,143
"184","New Jersey","Hunterdon County","New York","Nassau County",36059034019,8
"185","New Jersey","Hunterdon County","New York","Westchester County",36119034019,99
"186","New Jersey","Hunterdon County","New Jersey","Essex County",34013034019,127
"187","New Jersey","Hunterdon County","New Jersey","Middlesex County",34023034019,315
"188","New Jersey","Hunterdon County","New Jersey","Mercer County",34021034019,503
"189","New Jersey","Hunterdon County","New Jersey","Passaic County",34031034019,134
"190","New Jersey","Mercer County","New Jersey","Hudson County",34017034021,197
"191","New Jersey","Mercer County","Pennsylvania","Monroe County",42089034021,9
"192","New Jersey","Mercer County","Connecticut","New Haven County",9009034021,131
"193","New Jersey","Mercer County","New York","Suffolk County",36103034021,25
"194","New Jersey","Mercer County","Connecticut","Fairfield County",9001034021,201
"195","New Jersey","Mercer County","New York","Bronx County",36005034021,44
"196","New Jersey","Mercer County","New Jersey","Essex County",34013034021,395
"197","New Jersey","Mercer County","New York","Kings County",36047034021,157
"198","New Jersey","Mercer County","New York","New York County",36061034021,479
"199","New Jersey","Mercer County","New Jersey","Somerset County",34035034021,364
"200","New Jersey","Mercer County","New Jersey","Hunterdon County",34019034021,619
"201","New Jersey","Mercer County","New Jersey","Passaic County",34031034021,171
"202","New Jersey","Mercer County","New York","Dutchess County",36027034021,18
"203","New Jersey","Mercer County","New Jersey","Warren County",34041034021,64
"204","New Jersey","Mercer County","New Jersey","Morris County",34027034021,128
"205","New Jersey","Mercer County","Pennsylvania","Lehigh County",42077034021,46
"206","New Jersey","Mercer County","New Jersey","Middlesex County",34023034021,2001
"207","New Jersey","Mercer County","New York","Westchester County",36119034021,22
"208","New Jersey","Mercer County","Pennsylvania","Pike County",42103034021,5
"209","New Jersey","Mercer County","New Jersey","Monmouth County",34025034021,811
"210","New Jersey","Mercer County","New York","Richmond County",36085034021,27
"211","New Jersey","Mercer County","New Jersey","Bergen County",34003034021,158
"212","New Jersey","Mercer County","New Jersey","Union County",34039034021,108
"213","New Jersey","Mercer County","New Jersey","Ocean County",34029034021,397
"214","New Jersey","Mercer County","New York","Queens County",36081034021,15
"215","New Jersey","Middlesex County","New Jersey","Passaic County",34031034023,438
"216","New Jersey","Middlesex County","New York","Bronx County",36005034023,259
"217","New Jersey","Middlesex County","New York","Suffolk County",36103034023,91
"218","New Jersey","Middlesex County","New Jersey","Essex County",34013034023,971
"219","New Jersey","Middlesex County","New York","Nassau County",36059034023,64
"220","New Jersey","Middlesex County","New Jersey","Ocean County",34029034023,1257
"221","New Jersey","Middlesex County","New Jersey","Bergen County",34003034023,779
"222","New Jersey","Middlesex County","New Jersey","Monmouth County",34025034023,3468
"223","New Jersey","Middlesex County","New York","Kings County",36047034023,208
"224","New Jersey","Middlesex County","Connecticut","New Haven County",9009034023,130
"225","New Jersey","Middlesex County","New Jersey","Warren County",34041034023,171
"226","New Jersey","Middlesex County","Pennsylvania","Monroe County",42089034023,61
"227","New Jersey","Middlesex County","Connecticut","Fairfield County",9001034023,124
"228","New Jersey","Middlesex County","New York","Rockland County",36087034023,16
"229","New Jersey","Middlesex County","New York","Queens County",36081034023,605
"230","New Jersey","Middlesex County","New Jersey","Morris County",34027034023,751
"231","New Jersey","Middlesex County","New York","Dutchess County",36027034023,131
"232","New Jersey","Middlesex County","Pennsylvania","Lehigh County",42077034023,304
"233","New Jersey","Middlesex County","Pennsylvania","Northampton County",42095034023,557
"234","New Jersey","Middlesex County","New York","New York County",36061034023,547
"235","New Jersey","Middlesex County","New Jersey","Somerset County",34035034023,3572
"236","New Jersey","Middlesex County","Pennsylvania","Pike County",42103034023,22
"237","New Jersey","Middlesex County","New York","Orange County",36071034023,8
"238","New Jersey","Middlesex County","New Jersey","Hudson County",34017034023,1239
"239","New Jersey","Middlesex County","New Jersey","Union County",34039034023,2167
"240","New Jersey","Middlesex County","New York","Westchester County",36119034023,178
"241","New Jersey","Middlesex County","New Jersey","Mercer County",34021034023,3387
"242","New Jersey","Middlesex County","New Jersey","Hunterdon County",34019034023,1006
"243","New Jersey","Middlesex County","New York","Richmond County",36085034023,363
"244","New Jersey","Monmouth County","New Jersey","Passaic County",34031034025,589
"245","New Jersey","Monmouth County","Pennsylvania","Pike County",42103034025,35
"246","New Jersey","Monmouth County","New Jersey","Bergen County",34003034025,278
"247","New Jersey","Monmouth County","New Jersey","Mercer County",34021034025,739
"248","New Jersey","Monmouth County","New York","Nassau County",36059034025,29
"249","New Jersey","Monmouth County","New Jersey","Union County",34039034025,403
"250","New Jersey","Monmouth County","New Jersey","Hudson County",34017034025,289
"251","New Jersey","Monmouth County","Connecticut","Fairfield County",9001034025,113
"252","New Jersey","Monmouth County","New Jersey","Essex County",34013034025,551
"253","New Jersey","Monmouth County","New York","Kings County",36047034025,422
"254","New Jersey","Monmouth County","New Jersey","Middlesex County",34023034025,2500
"255","New Jersey","Monmouth County","New York","Bronx County",36005034025,93
"256","New Jersey","Monmouth County","Pennsylvania","Lehigh County",42077034025,59
"257","New Jersey","Monmouth County","Connecticut","New Haven County",9009034025,62
"258","New Jersey","Monmouth County","New Jersey","Hunterdon County",34019034025,198
"259","New Jersey","Monmouth County","New Jersey","Somerset County",34035034025,125
"260","New Jersey","Monmouth County","New York","Dutchess County",36027034025,49
"261","New Jersey","Monmouth County","New York","Orange County",36071034025,219
"262","New Jersey","Monmouth County","Pennsylvania","Northampton County",42095034025,157
"263","New Jersey","Monmouth County","New York","Suffolk County",36103034025,88
"264","New Jersey","Monmouth County","New Jersey","Ocean County",34029034025,5167
"265","New Jersey","Monmouth County","New York","Rockland County",36087034025,207
"266","New Jersey","Monmouth County","New York","Richmond County",36085034025,133
"267","New Jersey","Monmouth County","New York","Queens County",36081034025,93
"268","New Jersey","Monmouth County","New York","Westchester County",36119034025,27
"269","New Jersey","Monmouth County","New York","New York County",36061034025,648
"270","New Jersey","Monmouth County","New Jersey","Morris County",34027034025,692
"271","New Jersey","Monmouth County","Pennsylvania","Monroe County",42089034025,85
"272","New Jersey","Monmouth County","New Jersey","Warren County",34041034025,55
"273","New Jersey","Morris County","Pennsylvania","Monroe County",42089034027,332
"274","New Jersey","Morris County","New Jersey","Bergen County",34003034027,940
"275","New Jersey","Morris County","New Jersey","Middlesex County",34023034027,717
"276","New Jersey","Morris County","New York","Putnam County",36079034027,49
"277","New Jersey","Morris County","New Jersey","Passaic County",34031034027,1193
"278","New Jersey","Morris County","New York","Nassau County",36059034027,9
"279","New Jersey","Morris County","Pennsylvania","Pike County",42103034027,80
"280","New Jersey","Morris County","New York","New York County",36061034027,497
"281","New Jersey","Morris County","Connecticut","New Haven County",9009034027,59
"282","New Jersey","Morris County","New York","Suffolk County",36103034027,128
"283","New Jersey","Morris County","New York","Dutchess County",36027034027,30
"284","New Jersey","Morris County","New Jersey","Somerset County",34035034027,968
"285","New Jersey","Morris County","Connecticut","Fairfield County",9001034027,79
"286","New Jersey","Morris County","New Jersey","Hudson County",34017034027,860
"287","New Jersey","Morris County","New Jersey","Mercer County",34021034027,262
"288","New Jersey","Morris County","New York","Westchester County",36119034027,89
"289","New Jersey","Morris County","New York","Richmond County",36085034027,130
"290","New Jersey","Morris County","New Jersey","Union County",34039034027,850
"291","New Jersey","Morris County","New Jersey","Monmouth County",34025034027,379
"292","New Jersey","Morris County","New York","Rockland County",36087034027,64
"293","New Jersey","Morris County","Pennsylvania","Northampton County",42095034027,410
"294","New Jersey","Morris County","Pennsylvania","Lehigh County",42077034027,60
"295","New Jersey","Morris County","New Jersey","Warren County",34041034027,1139
"296","New Jersey","Morris County","New Jersey","Ocean County",34029034027,558
"297","New Jersey","Morris County","New York","Kings County",36047034027,145
"298","New Jersey","Morris County","New York","Queens County",36081034027,211
