Date,Day,Month,Year,Weekend
7/1/2013,1,7,2013,0
7/2/2013,2,7,2013,0
7/3/2013,3,7,2013,0
7/4/2013,4,7,2013,0
7/5/2013,5,7,2013,0
7/6/2013,6,7,2013,1
7/7/2013,7,7,2013,1
7/8/2013,8,7,2013,0
7/9/2013,9,7,2013,0
7/10/2013,10,7,2013,0
7/11/2013,11,7,2013,0
7/12/2013,12,7,2013,0
7/13/2013,13,7,2013,1
7/14/2013,14,7,2013,1
7/15/2013,15,7,2013,0
7/16/2013,16,7,2013,0
7/17/2013,17,7,2013,0
7/18/2013,18,7,2013,0
7/19/2013,19,7,2013,0
7/20/2013,20,7,2013,1
7/21/2013,21,7,2013,1
7/22/2013,22,7,2013,0
7/23/2013,23,7,2013,0
7/24/2013,24,7,2013,0
7/25/2013,25,7,2013,0
7/26/2013,26,7,2013,0
7/27/2013,27,7,2013,1
7/28/2013,28,7,2013,1
7/29/2013,29,7,2013,0
7/30/2013,30,7,2013,0
7/31/2013,31,7,2013,0
8/1/2013,1,8,2013,0
8/2/2013,2,8,2013,0
8/3/2013,3,8,2013,1
8/4/2013,4,8,2013,1
8/5/2013,5,8,2013,0
8/6/2013,6,8,2013,0
8/7/2013,7,8,2013,0
8/8/2013,8,8,2013,0
8/9/2013,9,8,2013,0
8/10/2013,10,8,2013,1
8/11/2013,11,8,2013,1
8/12/2013,12,8,2013,0
8/13/2013,13,8,2013,0
8/14/2013,14,8,2013,0
8/15/2013,15,8,2013,0
8/16/2013,16,8,2013,0
8/17/2013,17,8,2013,1
8/18/2013,18,8,2013,1
8/19/2013,19,8,2013,0
8/20/2013,20,8,2013,0
8/21/2013,21,8,2013,0
8/22/2013,22,8,2013,0
8/23/2013,23,8,2013,0
8/24/2013,24,8,2013,1
8/25/2013,25,8,2013,1
8/26/2013,26,8,2013,0
8/27/2013,27,8,2013,0
8/28/2013,28,8,2013,0
8/29/2013,29,8,2013,0
8/30/2013,30,8,2013,0
8/31/2013,31,8,2013,1
9/1/2013,1,9,2013,1
9/2/2013,2,9,2013,0
9/3/2013,3,9,2013,0
9/4/2013,4,9,2013,0
9/5/2013,5,9,2013,0
9/6/2013,6,9,2013,0
9/7/2013,7,9,2013,1
9/8/2013,8,9,2013,1
9/9/2013,9,9,2013,0
9/10/2013,10,9,2013,0
9/11/2013,11,9,2013,0
9/12/2013,12,9,2013,0
9/13/2013,13,9,2013,0
9/14/2013,14,9,2013,1
9/15/2013,15,9,2013,1
9/16/2013,16,9,2013,0
9/17/2013,17,9,2013,0
9/18/2013,18,9,2013,0
9/19/2013,19,9,2013,0
9/20/2013,20,9,2013,0
9/21/2013,21,9,2013,1
9/22/2013,22,9,2013,1
9/23/2013,23,9,2013,0
9/24/2013,24,9,2013,0
9/25/2013,25,9,2013,0
9/26/2013,26,9,2013,0
9/27/2013,27,9,2013,0
9/28/2013,28,9,2013,1
9/29/2013,29,9,2013,1
9/30/2013,30,9,2013,0
10/1/2013,1,10,2013,0
10/2/2013,2,10,2013,0
10/3/2013,3,10,2013,0
10/4/2013,4,10,2013,0
10/5/2013,5,10,2013,1
10/6/2013,6,10,2013,1
10/7/2013,7,10,2013,0
10/8/2013,8,10,2013,0
10/9/2013,9,10,2013,0
10/10/2013,10,10,2013,0
10/11/2013,11,10,2013,0
10/12/2013,12,10,2013,1
10/13/2013,13,10,2013,1
10/14/2013,14,10,2013,0
10/15/2013,15,10,2013,0
10/16/2013,16,10,2013,0
10/17/2013,17,10,2013,0
10/18/2013,18,10,2013,0
10/19/2013,19,10,2013,1
10/20/2013,20,10,2013,1
10/21/2013,21,10,2013,0
10/22/2013,22,10,2013,0
10/23/2013,23,10,2013,0
10/24/2013,24,10,2013,0
10/25/2013,25,10,2013,0
10/26/2013,26,10,2013,1
10/27/2013,27,10,2013,1
10/28/2013,28,10,2013,0
10/29/2013,29,10,2013,0
10/30/2013,30,10,2013,0
10/31/2013,31,10,2013,0
11/1/2013,1,11,2013,0
11/2/2013,2,11,2013,1
11/3/2013,3,11,2013,1
11/4/2013,4,11,2013,0
11/5/2013,5,11,2013,0
11/6/2013,6,11,2013,0
11/7/2013,7,11,2013,0
11/8/2013,8,11,2013,0
11/9/2013,9,11,2013,1
11/10/2013,10,11,2013,1
11/11/2013,11,11,2013,0
11/12/2013,12,11,2013,0
11/13/2013,13,11,2013,0
11/14/2013,14,11,2013,0
11/15/2013,15,11,2013,0
11/16/2013,16,11,2013,1
11/17/2013,17,11,2013,1
11/18/2013,18,11,2013,0
11/19/2013,19,11,2013,0
11/20/2013,20,11,2013,0
11/21/2013,21,11,2013,0
11/22/2013,22,11,2013,0
11/23/2013,23,11,2013,1
11/24/2013,24,11,2013,1
11/25/2013,25,11,2013,0
11/26/2013,26,11,2013,0
11/27/2013,27,11,2013,0
11/28/2013,28,11,2013,0
11/29/2013,29,11,2013,0
11/30/2013,30,11,2013,1
12/1/2013,1,12,2013,1
12/2/2013,2,12,2013,0
12/3/2013,3,12,2013,0
12/4/2013,4,12,2013,0
12/5/2013,5,12,2013,0
12/6/2013,6,12,2013,0
12/7/2013,7,12,2013,1
12/8/2013,8,12,2013,1
12/9/2013,9,12,2013,0
12/10/2013,10,12,2013,0
12/11/2013,11,12,2013,0
12/12/2013,12,12,2013,0
12/13/2013,13,12,2013,0
12/14/2013,14,12,2013,1
12/15/2013,15,12,2013,1
12/16/2013,16,12,2013,0
12/17/2013,17,12,2013,0
12/18/2013,18,12,2013,0
12/19/2013,19,12,2013,0
12/20/2013,20,12,2013,0
12/21/2013,21,12,2013,1
12/22/2013,22,12,2013,1
12/23/2013,23,12,2013,0
12/24/2013,24,12,2013,0
12/25/2013,25,12,2013,0
12/26/2013,26,12,2013,0
12/27/2013,27,12,2013,0
12/28/2013,28,12,2013,1
12/29/2013,29,12,2013,1
12/30/2013,30,12,2013,0
12/31/2013,31,12,2013,0
1/1/2014,1,1,2014,0
1/2/2014,2,1,2014,0
1/3/2014,3,1,2014,0
1/4/2014,4,1,2014,1
1/5/2014,5,1,2014,1
1/6/2014,6,1,2014,0
1/7/2014,7,1,2014,0
1/8/2014,8,1,2014,0
1/9/2014,9,1,2014,0
1/10/2014,10,1,2014,0
1/11/2014,11,1,2014,1
1/12/2014,12,1,2014,1
1/13/2014,13,1,2014,0
1/14/2014,14,1,2014,0
1/15/2014,15,1,2014,0
1/16/2014,16,1,2014,0
1/17/2014,17,1,2014,0
1/18/2014,18,1,2014,1
1/19/2014,19,1,2014,1
1/20/2014,20,1,2014,0
1/21/2014,21,1,2014,0
1/22/2014,22,1,2014,0
1/23/2014,23,1,2014,0
1/24/2014,24,1,2014,0
1/25/2014,25,1,2014,1
1/26/2014,26,1,2014,1
1/27/2014,27,1,2014,0
1/28/2014,28,1,2014,0
1/29/2014,29,1,2014,0
1/30/2014,30,1,2014,0
1/31/2014,31,1,2014,0
2/1/2014,1,2,2014,1
2/2/2014,2,2,2014,1
2/3/2014,3,2,2014,0
2/4/2014,4,2,2014,0
2/5/2014,5,2,2014,0
2/6/2014,6,2,2014,0
2/7/2014,7,2,2014,0
2/8/2014,8,2,2014,1
2/9/2014,9,2,2014,1
2/10/2014,10,2,2014,0
2/11/2014,11,2,2014,0
2/12/2014,12,2,2014,0
2/13/2014,13,2,2014,0
2/14/2014,14,2,2014,0
2/15/2014,15,2,2014,1
2/16/2014,16,2,2014,1
2/17/2014,17,2,2014,0
2/18/2014,18,2,2014,0
2/19/2014,19,2,2014,0
2/20/2014,20,2,2014,0
2/21/2014,21,2,2014,0
2/22/2014,22,2,2014,1
2/23/2014,23,2,2014,1
2/24/2014,24,2,2014,0
2/25/2014,25,2,2014,0
2/26/2014,26,2,2014,0
2/27/2014,27,2,2014,0
2/28/2014,28,2,2014,0
3/1/2014,1,3,2014,1
3/2/2014,2,3,2014,1
3/3/2014,3,3,2014,0
3/4/2014,4,3,2014,0
3/5/2014,5,3,2014,0
3/6/2014,6,3,2014,0
3/7/2014,7,3,2014,0
3/8/2014,8,3,2014,1
3/9/2014,9,3,2014,1
3/10/2014,10,3,2014,0
3/11/2014,11,3,2014,0
3/12/2014,12,3,2014,0
3/13/2014,13,3,2014,0
3/14/2014,14,3,2014,0
3/15/2014,15,3,2014,1
3/16/2014,16,3,2014,1
3/17/2014,17,3,2014,0
3/18/2014,18,3,2014,0
3/19/2014,19,3,2014,0
3/20/2014,20,3,2014,0
3/21/2014,21,3,2014,0
3/22/2014,22,3,2014,1
3/23/2014,23,3,2014,1
3/24/2014,24,3,2014,0
3/25/2014,25,3,2014,0
3/26/2014,26,3,2014,0
3/27/2014,27,3,2014,0
3/28/2014,28,3,2014,0
3/29/2014,29,3,2014,1
3/30/2014,30,3,2014,1
3/31/2014,31,3,2014,0
4/1/2014,1,4,2014,0
4/2/2014,2,4,2014,0
4/3/2014,3,4,2014,0
4/4/2014,4,4,2014,0
4/5/2014,5,4,2014,1
4/6/2014,6,4,2014,1
4/7/2014,7,4,2014,0
4/8/2014,8,4,2014,0
4/9/2014,9,4,2014,0
4/10/2014,10,4,2014,0
4/11/2014,11,4,2014,0
4/12/2014,12,4,2014,1
4/13/2014,13,4,2014,1
4/14/2014,14,4,2014,0
4/15/2014,15,4,2014,0
4/16/2014,16,4,2014,0
4/17/2014,17,4,2014,0
4/18/2014,18,4,2014,0
4/19/2014,19,4,2014,1
4/20/2014,20,4,2014,1
4/21/2014,21,4,2014,0
4/22/2014,22,4,2014,0
4/23/2014,23,4,2014,0
4/24/2014,24,4,2014,0
4/25/2014,25,4,2014,0
4/26/2014,26,4,2014,1
4/27/2014,27,4,2014,1
4/28/2014,28,4,2014,0
4/29/2014,29,4,2014,0
4/30/2014,30,4,2014,0
5/1/2014,1,5,2014,0
5/2/2014,2,5,2014,0
5/3/2014,3,5,2014,1
5/4/2014,4,5,2014,1
5/5/2014,5,5,2014,0
5/6/2014,6,5,2014,0
5/7/2014,7,5,2014,0
5/8/2014,8,5,2014,0
5/9/2014,9,5,2014,0
5/10/2014,10,5,2014,1
5/11/2014,11,5,2014,1
5/12/2014,12,5,2014,0
5/13/2014,13,5,2014,0
5/14/2014,14,5,2014,0
5/15/2014,15,5,2014,0
5/16/2014,16,5,2014,0
5/17/2014,17,5,2014,1
5/18/2014,18,5,2014,1
5/19/2014,19,5,2014,0
5/20/2014,20,5,2014,0
5/21/2014,21,5,2014,0
5/22/2014,22,5,2014,0
5/23/2014,23,5,2014,0
5/24/2014,24,5,2014,1
5/25/2014,25,5,2014,1
5/26/2014,26,5,2014,0
5/27/2014,27,5,2014,0
5/28/2014,28,5,2014,0
5/29/2014,29,5,2014,0
5/30/2014,30,5,2014,0
5/31/2014,31,5,2014,1
6/1/2014,1,6,2014,1
6/2/2014,2,6,2014,0
6/3/2014,3,6,2014,0
6/4/2014,4,6,2014,0
6/5/2014,5,6,2014,0
6/6/2014,6,6,2014,0
6/7/2014,7,6,2014,1
6/8/2014,8,6,2014,1
6/9/2014,9,6,2014,0
6/10/2014,10,6,2014,0
6/11/2014,11,6,2014,0
6/12/2014,12,6,2014,0
6/13/2014,13,6,2014,0
6/14/2014,14,6,2014,1
6/15/2014,15,6,2014,1
6/16/2014,16,6,2014,0
6/17/2014,17,6,2014,0
6/18/2014,18,6,2014,0
6/19/2014,19,6,2014,0
6/20/2014,20,6,2014,0
6/21/2014,21,6,2014,1
6/22/2014,22,6,2014,1
6/23/2014,23,6,2014,0
6/24/2014,24,6,2014,0
6/25/2014,25,6,2014,0
6/26/2014,26,6,2014,0
6/27/2014,27,6,2014,0
6/28/2014,28,6,2014,1
6/29/2014,29,6,2014,1
6/30/2014,30,6,2014,0
7/1/2014,1,7,2014,0
7/2/2014,2,7,2014,0
7/3/2014,3,7,2014,0
7/4/2014,4,7,2014,0
7/5/2014,5,7,2014,1
7/6/2014,6,7,2014,1
7/7/2014,7,7,2014,0
7/8/2014,8,7,2014,0
7/9/2014,9,7,2014,0
7/10/2014,10,7,2014,0
7/11/2014,11,7,2014,0
7/12/2014,12,7,2014,1
7/13/2014,13,7,2014,1
7/14/2014,14,7,2014,0
7/15/2014,15,7,2014,0
7/16/2014,16,7,2014,0
7/17/2014,17,7,2014,0
7/18/2014,18,7,2014,0
7/19/2014,19,7,2014,1
7/20/2014,20,7,2014,1
7/21/2014,21,7,2014,0
7/22/2014,22,7,2014,0
7/23/2014,23,7,2014,0
7/24/2014,24,7,2014,0
7/25/2014,25,7,2014,0
7/26/2014,26,7,2014,1
7/27/2014,27,7,2014,1
7/28/2014,28,7,2014,0
7/29/2014,29,7,2014,0
7/30/2014,30,7,2014,0
7/31/2014,31,7,2014,0
8/1/2014,1,8,2014,0
8/2/2014,2,8,2014,1
8/3/2014,3,8,2014,1
8/4/2014,4,8,2014,0
8/5/2014,5,8,2014,0
8/6/2014,6,8,2014,0
8/7/2014,7,8,2014,0
8/8/2014,8,8,2014,0
8/9/2014,9,8,2014,1
8/10/2014,10,8,2014,1
8/11/2014,11,8,2014,0
8/12/2014,12,8,2014,0
8/13/2014,13,8,2014,0
8/14/2014,14,8,2014,0
8/15/2014,15,8,2014,0
8/16/2014,16,8,2014,1
8/17/2014,17,8,2014,1
8/18/2014,18,8,2014,0
8/19/2014,19,8,2014,0
8/20/2014,20,8,2014,0
8/21/2014,21,8,2014,0
8/22/2014,22,8,2014,0
8/23/2014,23,8,2014,1
8/24/2014,24,8,2014,1
8/25/2014,25,8,2014,0
8/26/2014,26,8,2014,0
8/27/2014,27,8,2014,0
8/28/2014,28,8,2014,0
8/29/2014,29,8,2014,0
8/30/2014,30,8,2014,1
8/31/2014,31,8,2014,1
