"","title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short","decade"
"1008","Admiral Cigarette",1897,1,NA,4.4,34,4.5,4.5,4.5,14.5,14.5,14.5,24.5,0,4.5,4.5,"",0,0,0,0,1,0,1,1890
"1009","Admiral Dewey Leading Land Parade",1899,1,NA,4.1,27,14.5,4.5,24.5,4.5,24.5,14.5,4.5,4.5,4.5,0,"",0,0,0,0,1,0,1,1890
"2370","Amy Muller",1896,1,NA,4.3,27,14.5,4.5,24.5,4.5,14.5,14.5,14.5,4.5,0,4.5,"",0,0,0,0,1,0,1,1890
"3007","Arabian Gun Twirler",1899,1,NA,3.9,19,4.5,0,24.5,34.5,34.5,4.5,0,0,0,4.5,"",0,0,0,0,1,0,1,1890
"3392","Astor Tramp, The",1899,2,NA,3.6,13,4.5,14.5,34.5,14.5,14.5,0,0,0,0,4.5,"",0,0,1,0,1,0,1,1890
"3659","Autruches",1896,1,NA,5.4,74,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,4.5,4.5,"",0,0,0,0,1,0,1,1890
"3847","Babies Quarrel",1896,1,NA,6.2,70,4.5,4.5,0,4.5,14.5,24.5,24.5,4.5,14.5,4.5,"",0,0,0,0,1,0,1,1890
"4458","Barque sortant du port",1895,1,NA,6,48,4.5,0,4.5,14.5,24.5,14.5,14.5,14.5,4.5,4.5,"",0,0,0,0,1,0,1,1890
"4544","Bataille de boules de neige",1896,1,NA,7,73,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"",0,0,0,0,1,0,1,1890
"5849","Biter Bit, The",1897,1,NA,4.7,25,4.5,14.5,4.5,4.5,24.5,34.5,14.5,4.5,0,0,"",0,0,1,0,0,0,1,1890
"5913","Black Diamond Express",1896,1,NA,5,19,4.5,0,0,24.5,24.5,24.5,4.5,4.5,14.5,4.5,"",0,0,0,0,1,0,1,1890
"6076","Blacksmith Scene",1893,1,NA,7,90,4.5,0,4.5,4.5,14.5,4.5,14.5,14.5,14.5,24.5,"",0,0,0,0,0,0,1,1890
"7096","Bowery Waltz",1897,1,NA,4.1,15,4.5,4.5,14.5,24.5,4.5,34.5,14.5,0,0,0,"",0,0,0,0,1,0,1,1890
"7725","Bucking Broncho",1894,1,NA,4.6,30,0,0,24.5,24.5,14.5,14.5,24.5,4.5,0,0,"",0,0,0,0,1,0,1,1890
"7767","Buffalo Dance",1894,1,NA,5,35,0,0,14.5,14.5,14.5,14.5,24.5,4.5,4.5,4.5,"",0,0,0,0,1,0,1,1890
"7768","Buffalo Fire Department in Action",1897,1,NA,4.1,16,4.5,4.5,4.5,34.5,14.5,4.5,14.5,0,0,14.5,"",0,0,0,0,1,0,1,1890
"8214","Caicedo (with Pole)",1894,1,NA,5.8,41,4.5,0,0,4.5,24.5,14.5,34.5,4.5,4.5,4.5,"",0,0,0,0,0,0,1,1890
"9070","Cattle Driven to Slaughter",1897,1,NA,3.7,15,4.5,24.5,24.5,24.5,14.5,4.5,4.5,4.5,0,0,"",0,0,0,0,1,0,1,1890
"10720","Come Along Do!",1898,1,NA,4.6,27,4.5,14.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,4.5,"",0,0,1,0,0,0,1,1890
"11674","Cripple Creek Bar-Room Scene",1899,1,NA,3.9,21,4.5,4.5,14.5,14.5,4.5,14.5,14.5,0,4.5,4.5,"",0,0,0,0,0,0,1,1890
"14083","Distributing a War Extra",1899,1,NA,3.6,9,14.5,0,0,45.5,14.5,0,14.5,14.5,0,0,"",0,0,0,0,1,0,1,1890
"15774","Elopement on Horseback",1898,1,NA,3.6,6,14.5,0,14.5,0,0,34.5,34.5,0,0,0,"",0,0,0,1,0,0,1,1890
"16637","Execution of Mary Stuart, The",1895,1,NA,5.7,33,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,24.5,"",0,0,0,0,0,0,1,1890
"20435","Glenroy Bros., No. 2",1894,1,NA,4.2,15,0,4.5,24.5,34.5,24.5,0,4.5,0,0,4.5,"",0,0,0,0,1,0,1,1890
"20436","Glenroy Brothers (Comic Boxing)",1894,1,NA,5.4,97,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,0,"",0,0,0,0,1,0,1,1890
"21732","Hadj Cheriff",1894,1,NA,4.1,14,0,4.5,44.5,14.5,4.5,14.5,4.5,4.5,0,0,"",0,0,0,0,0,0,1,1890
"26313","Jeanne d'Arc",1899,10,NA,5.3,14,4.5,0,0,14.5,0,4.5,0,24.5,14.5,24.5,"",0,0,0,0,0,0,1,1890
"27861","King John",1899,3,NA,5.6,23,14.5,0,4.5,4.5,14.5,4.5,24.5,4.5,4.5,4.5,"",0,0,0,1,0,0,1,1890
"28035","Kiss, The",1896,1,NA,6.1,173,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,14.5,"",0,0,0,0,0,0,1,1890
"29352","Leaving Jerusalem by Railway",1896,1,NA,7,32,4.5,0,0,0,14.5,24.5,24.5,14.5,4.5,14.5,"",0,0,0,0,0,0,0,1890
"29524","Leonard-Cushing Fight",1894,1,NA,4.4,20,4.5,0,14.5,14.5,24.5,14.5,14.5,24.5,0,0,"",0,0,0,0,1,0,1,1890
"30957","Love and War",1899,2,NA,4.1,14,4.5,4.5,4.5,24.5,24.5,4.5,14.5,0,0,4.5,"",0,0,0,1,0,0,1,1890
"31154","Luis Martinetti, Contortionist",1894,1,NA,6.1,38,0,0,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,0,0,0,0,1,1890
"31621","Magicien, Le",1898,1,NA,6,10,14.5,0,0,0,0,14.5,24.5,64.5,0,0,"",0,0,0,0,0,0,1,1890
"32234","Manoir du diable, Le",1896,2,NA,5.3,12,4.5,0,0,0,14.5,4.5,0,0,14.5,45.5,"",0,0,0,0,0,0,1,1890
"33604","Miller and the Sweep, The",1898,1,NA,5.5,28,4.5,0,0,14.5,24.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,0,1,1890
"34742","Mr. Edison at Work in His Chemical Laboratory",1897,1,NA,4.6,15,4.5,0,4.5,24.5,24.5,24.5,14.5,0,4.5,4.5,"",0,0,0,0,1,0,0,1890
"36126","New York, Broadway et Union Square",1896,1,NA,6,69,0,0,4.5,14.5,24.5,24.5,24.5,4.5,4.5,4.5,"",0,0,0,0,1,0,1,1890
"36129","New York, pont de Brooklyn",1896,1,NA,5.1,24,0,0,4.5,14.5,34.5,24.5,4.5,4.5,4.5,4.5,"",0,0,0,0,1,0,1,1890
"36191","Niagara",1897,1,NA,5.9,26,4.5,0,0,4.5,14.5,34.5,24.5,14.5,4.5,4.5,"",0,0,0,0,0,0,0,1890
"38671","Pack Train at Chilkoot Pass",1898,1,NA,5.5,57,0,4.5,4.5,14.5,34.5,24.5,14.5,4.5,4.5,0,"",0,0,0,0,1,0,1,1890
"39904","Photographe",1895,1,NA,4.8,28,14.5,0,4.5,14.5,14.5,34.5,14.5,14.5,0,4.5,"",0,0,0,0,1,0,1,1890
"41111","President McKinley at Home",1897,1,NA,4.9,62,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,0,4.5,"",0,0,0,0,1,0,1,1890
"43412","Rip Leaving Sleepy Hollow",1896,4,NA,2.1,5,44.5,0,0,24.5,24.5,0,0,0,0,24.5,"",0,0,0,1,0,0,1,1890
"45689","Seminary Girls",1897,1,NA,5.7,97,4.5,0,4.5,14.5,24.5,24.5,24.5,4.5,4.5,4.5,"",0,0,1,0,0,0,1,1890
"47090","Sioux Ghost Dance",1894,1,NA,4.4,18,0,4.5,14.5,34.5,34.5,14.5,0,4.5,0,0,"",0,0,0,0,0,0,1,1890
"49367","Strange Adventure of New York Drummer",1899,1,NA,4.4,5,24.5,0,0,24.5,0,0,0,44.5,0,24.5,"",0,0,0,0,0,0,0,1890
"54344","Une nuit terrible",1896,1,NA,3.9,6,14.5,0,0,14.5,0,34.5,14.5,14.5,0,0,"",0,0,1,0,0,0,1,1890
"55053","Venice Showing Gondolas",1896,1,NA,5.1,5,24.5,0,0,0,24.5,24.5,0,44.5,0,0,"",0,0,0,0,0,0,1,1890
